RSPB,County,Species,Mean 2020,Rank 2020,% Gardens 2020,Mean 2019,Rank 2019,% Gardens 2019,% Change,Rank Change,% change in % gardens recorded
ESRO,Aberdeen City,Lapwing,0.0,61,0.0,0.0,62,0.0,NA,1,NA
ESRO,Aberdeen City,Lesser_black_backed_gull,0.0,62,0.0,0.0,51,0.2,-100.0,-11,-100.0
ESRO,Aberdeen City,Linnet,0.0,63,0.0,0.0,63,0.0,NA,0,NA
ESRO,Aberdeen City,Little_owl,0.0,64,0.0,0.0,64,0.0,NA,0,NA
ESRO,Aberdeen City,Marsh_tit,0.0,65,0.0,0.0,65,0.0,NA,0,NA
ESRO,Aberdeen City,Meadow_pipit,0.0,66,0.0,0.0,66,0.0,NA,0,NA
ESRO,Aberdeen City,Moorhen,0.0,67,0.0,0.0,48,0.2,-100.0,-19,-100.0
ESRO,Aberdeen City,Mute_swan,0.0,68,0.0,0.0,67,0.0,NA,-1,NA
ESRO,Aberdeen City,Raven,0.0,69,0.0,0.0,69,0.0,NA,0,NA
ESRO,Aberdeen City,Red_legged_partridge,0.0,70,0.0,0.0,70,0.0,NA,0,NA
ESRO,Aberdeen City,Reed_bunting,0.0,71,0.0,0.0,71,0.0,NA,0,NA
ESRO,Aberdeen City,Ring_necked_parakeet,0.0,72,0.0,0.0,72,0.0,NA,0,NA
ESRO,Aberdeen City,Skylark,0.0,73,0.0,0.0,73,0.0,NA,0,NA
ESRO,Aberdeen City,Tawny_owl,0.0,74,0.0,0.0,74,0.0,NA,0,NA
ESRO,Aberdeen City,Teal,0.0,75,0.0,0.0,75,0.0,NA,0,NA
ESRO,Aberdeen City,Tufted_duck,0.0,76,0.0,0.0,76,0.0,NA,0,NA
ESRO,Aberdeen City,Waxwing,0.0,77,0.0,0.0,77,0.0,NA,0,NA
ESRO,Aberdeen City,Wigeon,0.0,78,0.0,0.0,78,0.0,NA,0,NA
ESRO,Aberdeen City,Willow_tit,0.0,79,0.0,0.0,79,0.0,NA,0,NA
ESRO,Aberdeenshire,House_sparrow,7.8,1,74.4,8.0,1,78.8,-2.1,0,-5.6
ESRO,Aberdeenshire,Starling,5.3,2,46.5,4.8,3,51.3,10.7,1,-9.2
ESRO,Aberdeenshire,Chaffinch,2.5,3,57.5,5.1,2,74.1,-50.1,-1,-22.4
ESRO,Aberdeenshire,Blackbird,2.5,4,86.9,3.2,4,92.2,-22.0,0,-5.8
ESRO,Aberdeenshire,Blue_tit,2.4,5,76.4,2.9,5,78.8,-16.3,0,-3.1
ESRO,Aberdeenshire,Goldfinch,2.0,6,32.1,2.3,6,38.7,-14.6,0,-16.9
ESRO,Aberdeenshire,Robin,1.5,7,88.2,1.5,10,90.7,-2.7,3,-2.8
ESRO,Aberdeenshire,Woodpigeon,1.5,8,58.7,1.8,8,61.0,-16.9,0,-3.8
ESRO,Aberdeenshire,Great_tit,1.4,9,56.3,1.9,7,64.7,-25.6,-2,-12.9
